City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Ribeira Grande,PT,77.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
11,Bonthe,SL,78.08,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
15,General Pico,AR,79.48,overcast clouds,-35.6566,-63.7568,Euskadi Hotel
20,Caravelas,BR,79.38,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
21,Jamestown,US,80.02,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
23,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
26,Kalmunai,LK,79.66,few clouds,7.4167,81.8167,VS Villa
27,Guanare,VE,83.23,overcast clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
29,Ponta Do Sol,PT,78.71,clear sky,32.6667,-17.1,Hotel do Campo
30,Bafq,IR,82.94,clear sky,31.6128,55.4107,Alamdar Hotel
39,Hithadhoo,MV,81.27,clear sky,-0.6,73.0833,Scoop Guest House
45,Odweyne,SO,78.94,few clouds,9.4092,45.064,Eng Hiirey House
47,Gazanjyk,TM,77.85,clear sky,39.2446,55.5154,Railway motel
49,Harper,LR,76.98,overcast clouds,4.375,-7.7169,Screensaver
51,Marsh Harbour,BS,84.74,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
64,San Pedro,PH,78.03,broken clouds,14.35,121.0167,Palines Apartment and Guesthouse
65,Axim,GH,75.54,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
66,Hobyo,SO,76.8,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
71,Yarada,IN,82.72,mist,17.65,83.2667,Yarada Jungle Beach Resorts
74,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
75,Darnah,LY,75.72,clear sky,32.767,22.6367,فندق الفردوس
78,Saint George,US,85.42,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
79,Warangal,IN,75.56,overcast clouds,18.0,79.5833,Capital O 66968 Haveli The Landmark
80,Asyut,EG,81.12,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
85,Sao Jose Da Coroa Grande,BR,78.57,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
93,Chabahar,IR,82.35,clear sky,25.2919,60.643,هتل گدروشیا
103,Narasannapeta,IN,80.69,overcast clouds,18.4167,84.05,AVK events and catering
109,Bubaque,GW,81.12,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
111,Red Bank,US,79.88,clear sky,40.3471,-74.0643,The Molly Pitcher Inn
113,Sao Filipe,CV,78.94,broken clouds,14.8961,-24.4956,Hotel Xaguate
117,Villa Maria,AR,79.83,overcast clouds,-32.4075,-63.2402,Hotel Milenium
118,Laguna,US,78.35,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
120,Augusto Correa,BR,84.33,few clouds,-1.0217,-46.635,Fazenda Bacuri
121,Monrovia,LR,76.64,light rain,6.3005,-10.7969,Sunset Inn
122,Carovigno,IT,78.98,clear sky,40.708,17.655,Hotel Resort Corte di Ferro Puglia Hotels
130,Cockburn Town,TC,83.93,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
132,Kano,NG,79.45,overcast clouds,12.0001,8.5167,Royal Tropicana Hotel
135,Koroni,GR,79.07,clear sky,36.8,21.95,Apartments Xenios Zeus 1
136,Kazerun,IR,78.53,clear sky,29.6195,51.6541,آپارتمان بزرگ اویسا
139,Meulaboh,ID,76.05,light rain,4.1363,96.1285,Kost Pria
141,Nador,MA,77.25,clear sky,35.174,-2.9287,Hôtel La Giralda
144,Malanje,AO,77.68,broken clouds,-9.5402,16.341,Hotel Ginga
151,Pasaje,EC,84.07,broken clouds,-3.3333,-79.8167,Finca Huaylala
153,Viedma,AR,75.72,overcast clouds,-40.8135,-62.9967,Hotel Cristal
162,Prado,BR,77.95,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
166,Oistins,BB,84.54,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
169,Lalgudi,IN,82.72,mist,10.8667,78.8333,Tamash hotel
173,Shache,CN,77.72,overcast clouds,38.4167,77.2406,Delong Hotel
177,Tamandare,BR,79.16,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
185,Pachino,IT,78.62,clear sky,36.7186,15.0907,Il Veliero
188,La Asuncion,VE,85.64,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
190,Ponta Delgada,PT,78.49,few clouds,37.7333,-25.6667,Vila Nova Hotel
195,Marzuq,YE,82.2,overcast clouds,14.4,46.4667,حيد القفلة
201,Manta,EC,76.42,overcast clouds,-0.95,-80.7333,Balandra Hotel
204,San Cristobal,VE,82.58,overcast clouds,7.7669,-72.225,Pirineos
209,Felipe Carrillo Puerto,MX,83.95,overcast clouds,19.5833,-88.05,Hotel La Ceiba
211,Biltine,TD,78.46,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
220,Najran,SA,81.25,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
227,Sinnamary,GF,84.83,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
229,Villa Rica,US,83.59,clear sky,33.7321,-84.9191,Days Inn by Wyndham Villa Rica
230,Los Teques,VE,77.22,overcast clouds,10.3445,-67.0433,Casa Blanco Mazarelly
238,Razole,IN,77.99,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
240,Mumford,GH,75.81,few clouds,5.2618,-0.759,Spanish Villa
243,Wilmington,US,85.91,few clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
247,Tahta,EG,82.04,clear sky,26.7693,31.5021,فندق الزيات
249,Olinda,BR,78.53,clear sky,-8.0089,-34.8553,Flat Quatro Rodas Olinda
251,Palasa,IN,80.55,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
252,Kasangulu,CD,76.03,light rain,-4.5911,15.1708,Hôtel le Relais
256,Puerto El Triunfo,SV,84.85,overcast clouds,13.2833,-88.55,Hotel Jardin
260,Madingou,CG,79.74,overcast clouds,-4.1536,13.55,HOTEL KIM ELISA
264,Esna,EG,83.75,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
268,Springfield,US,82.53,clear sky,37.2153,-93.2982,Best Western Route 66 Rail Haven
272,Dovers,VC,83.3,broken clouds,12.8833,-61.1833,Ocean Breeze
277,Puerto Ayacucho,VE,80.4,light rain,5.6639,-67.6236,Posada Turistica Manapiare
282,Alcains,PT,78.57,clear sky,39.9164,-7.4566,Casa do Balcão
285,Acajutla,SV,82.78,overcast clouds,13.5928,-89.8275,Laureles
295,Oak Ridge,US,84.25,few clouds,36.0104,-84.2696,DoubleTree by Hilton Hotel Oak Ridge - Knoxville
297,Salinopolis,BR,82.58,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
299,Hamilton,US,85.98,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
300,Kismayo,SO,76.19,broken clouds,-0.3582,42.5454,Agan-Hotel
310,Savannah Bight,HN,83.55,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
317,Sorada,IN,78.87,overcast clouds,19.75,84.4333,PWD Guest House
321,Freetown,SL,79.0,overcast clouds,8.484,-13.2299,The Country Lodge Hotel
322,Santo Domingo,DO,83.03,broken clouds,18.5001,-69.9886,Cabañas City Heart
323,Kudahuvadhoo,MV,81.3,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
324,Itacare,BR,77.14,clear sky,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
325,Moussoro,TD,79.83,light rain,13.6408,16.4901,Pharmacie alnadja Moussoro
331,Salalah,OM,80.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
336,Escanaba,US,76.51,scattered clouds,45.7453,-87.0646,Sunset Lodge
339,Wausau,US,79.03,few clouds,44.9591,-89.6301,"Jefferson Street Inn, a Member of Radisson Individuals"
342,Odlabari,IN,76.66,moderate rain,26.8333,88.6167,west damdim resort
345,Gat,IL,79.48,clear sky,31.61,34.7642,OlusHome
348,Rabo De Peixe,PT,76.28,few clouds,37.8,-25.5833,Quinta das Giestas
350,Ajdabiya,LY,77.74,clear sky,30.7554,20.2263,منزلة الحاج سالم خليفة العيساويه الزواوي
354,Saint Anthony,US,78.96,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
357,Matara,LK,76.33,few clouds,5.9485,80.5353,Amaloh Boutique Resort
358,Touros,BR,80.78,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
359,Ahtopol,BG,75.76,overcast clouds,42.1,27.95,Agata Beach Hotel
364,Puerto Del Rosario,ES,76.75,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
366,Bastia,FR,75.29,clear sky,42.6667,9.3333,Hotel Santa Maria
367,Tohana,IN,76.32,clear sky,29.7,75.9,Bhatia Hotel
371,Porto Novo,BJ,76.96,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
373,High Rock,BS,80.13,moderate rain,26.6208,-78.2833,Hideaway Bahamas Beach Club
374,Pemba,MZ,77.7,few clouds,-12.974,40.5178,Guesthouse Samotina
382,Mohpa,IN,76.35,overcast clouds,21.3167,78.8167,Arvind Waghmare
383,Porto Santo,PT,75.58,broken clouds,33.072,-16.3415,Hotel Porto Santo & Spa
384,Prieska,ZA,79.66,overcast clouds,-29.6641,22.7474,Avenue GuestHouse
385,Mogadishu,SO,76.3,light rain,2.0371,45.3438,Hotel Juba
387,Ugoofaaru,MV,81.61,scattered clouds,5.6667,73.0,Ungoofaaru Inn
390,Acari,PE,75.72,clear sky,-15.4311,-74.6158,HOSPEDAJE XIMENA
391,Bindki,IN,77.13,overcast clouds,26.0333,80.6,Prem Resort
393,Nueva Loja,EC,77.02,broken clouds,0.0847,-76.8828,Limoncocha Great Hotel
394,Virginia Beach,US,81.05,few clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
395,Vila Franca Do Campo,PT,77.2,few clouds,37.7167,-25.4333,Pestana Bahia Praia
396,Kavaratti,IN,80.62,overcast clouds,10.5669,72.642,Green leaf
398,Alferrarede,PT,75.47,few clouds,39.4833,-8.1667,Hotel Conforto Latino
399,Conceicao Do Mato Dentro,BR,80.08,light rain,-19.0372,-43.425,Hotel Vista Inn
403,Westport,US,75.94,clear sky,41.1415,-73.3579,The Westport Inn
409,Cabedelo,BR,81.27,broken clouds,-6.9811,-34.8339,Pousada Camboinha
410,Tutoia,BR,81.63,clear sky,-2.7619,-42.2744,Pousada Guará's
411,Nueve De Julio,AR,75.96,overcast clouds,-35.4444,-60.8831,Grand Hotel Libertad - GHL
414,Porbandar,IN,80.69,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
415,Lisala,CD,75.81,overcast clouds,2.15,21.5167,Guest house Eden
416,Newnan,US,81.91,broken clouds,33.3807,-84.7997,La Quinta Inn & Suites by Wyndham Atlanta South - Newnan
421,Jabinyanah,TN,81.63,clear sky,35.035,10.9081,maison belmabrouk
422,Mahibadhoo,MV,81.37,clear sky,3.7833,72.9667,Omadhoo Inn
424,Mangrol,IN,80.65,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
426,Presidencia Roque Saenz Pena,AR,85.33,clear sky,-26.7852,-60.4388,Hotel Gualok
441,Bandarbeyla,SO,78.39,overcast clouds,9.4942,50.8122,JABIR HOTEL
443,Barcelona,ES,81.84,scattered clouds,41.3888,2.159,Axel Hotel Barcelona
446,Bela Vista,BR,83.57,clear sky,-22.1089,-56.5211,Bella Vista Palace Hotel
454,Windsor,CA,84.96,scattered clouds,42.3001,-83.0165,Detroit Marriott at the Renaissance Center
457,Resistencia,AR,80.58,clear sky,-27.4606,-58.9839,Niyat Urban Hotel
459,Orangeburg,US,84.49,scattered clouds,33.4918,-80.8557,Palmetto Inn & Suites
463,North Vernon,US,85.05,few clouds,39.0062,-85.6236,Quality Inn North Vernon near Hwy 50
465,Sayan,PE,77.67,few clouds,-11.1361,-77.1933,Hotel Restaurant Vanessa
468,Zhob,PK,76.12,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
469,Belmonte,BR,77.65,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
470,Acarau,BR,82.92,scattered clouds,-2.8856,-40.12,castelo pizzaria
472,Bull Savanna,JM,85.48,few clouds,17.8868,-77.5902,Big Red's
475,Mantua,IT,76.24,scattered clouds,45.1667,10.7833,Hotel la Favorita
477,Takoradi,GH,75.92,overcast clouds,4.8845,-1.7554,Raybow International Hotel
484,The Valley,AI,84.09,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
486,Woodstock,CA,82.42,overcast clouds,43.1334,-80.7497,"Holiday Inn Express & Suites Woodstock South, an IHG Hotel"
489,Shelburne,CA,79.75,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
497,Vila Do Maio,CV,79.5,broken clouds,15.1333,-23.2167,Hotel Marilu
516,Trincomalee,LK,79.54,overcast clouds,8.5711,81.2335,Welcombe Hotel
523,Sturgeon Bay,US,79.16,clear sky,44.8342,-87.377,AmericInn by Wyndham Sturgeon Bay
525,Dwarka,IN,81.52,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
526,Nouadhibou,MR,76.98,clear sky,20.931,-17.0347,El Medina
530,Chor,PK,82.15,broken clouds,25.5167,69.7667,Asad U Bajeer Hotel
532,Abu Zabad,SD,77.58,clear sky,12.35,29.25,حامد محمد نور
534,Lokoja,NG,77.77,overcast clouds,7.8024,6.743,Hotel Charvid
538,Inirida,CO,83.26,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
541,Sao Joao De Pirabas,BR,82.89,few clouds,-0.7747,-47.1772,POUSADA SOL E MAR
544,Nsanje,MW,76.26,clear sky,-16.92,35.262,Nsanje Discovery Lodge
545,Tete,MZ,80.69,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
546,Cozumel,MX,79.95,overcast clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
556,Berwick,US,78.12,clear sky,41.0545,-76.2333,The White Birch Inn B & B
564,Serik,TR,79.05,clear sky,36.9169,31.0989,Armas Belek - Ultra All Inclusive
566,Bafra,TR,75.81,scattered clouds,41.5678,35.9069,Sevgi Otel
570,Itarema,BR,82.29,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
577,Bud,US,84.4,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
578,Temba,ZA,75.11,clear sky,-25.3803,28.2631,Gene's Guesthouse
586,Havelock,US,84.18,clear sky,34.8791,-76.9013,Sherwood Motel
590,Monte Santo De Minas,BR,75.83,overcast clouds,-21.1897,-46.9803,Fazenda Poço Vermelho
593,Jalu,LY,84.25,clear sky,29.0331,21.5482,صاحبة الفخامة
603,Benghazi,LY,79.09,clear sky,32.1167,20.0667,Tibesti Hotel
608,Keti Bandar,PK,81.36,overcast clouds,24.1447,67.4497,Haji laloo memon house
609,Bida,NG,78.8,overcast clouds,9.0833,6.0167,Royal Suite
610,Maragogi,BR,77.77,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
611,Killin,US,84.29,few clouds,33.6123,-91.7412,US Forestry Department
612,Jaque,PA,80.33,light rain,7.5175,-78.1703,Aventuras Jaque S.A
615,Villa Carlos Paz,AR,78.06,overcast clouds,-31.4241,-64.4978,Monte Carlo vcp
627,Katsina,NG,81.46,overcast clouds,12.9894,7.6006,Katsina Motel
634,Pitimbu,BR,81.19,few clouds,-7.4706,-34.8086,Reserva do Abiaí
635,Kharod,IN,75.24,scattered clouds,21.75,82.5667,STARiHOTELS Sheorinarayan
641,Crotone,IT,81.19,clear sky,39.0851,17.1178,Helios Hotel
643,San Jose,US,80.49,clear sky,37.3394,-121.895,The Westin San Jose
649,Rawah,IQ,84.69,clear sky,34.4816,41.9093,بيت سميع
650,Saint-Georges,GD,85.14,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
654,Mandera,KE,81.88,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
658,Turayf,SA,80.85,clear sky,31.6725,38.6637,Al Mudawah Hotel
660,Bandundu,CD,76.75,moderate rain,-3.3167,17.3667,Coja Color
667,Salta,AR,75.79,clear sky,-24.7859,-65.4117,Hotel Alejandro I
669,Matay,EG,80.44,clear sky,28.419,30.7792,Nag Aespen
671,Port-Gentil,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
676,Decatur,US,82.98,few clouds,39.8403,-88.9548,Haworth Cottage
681,Balkanabat,TM,77.02,few clouds,39.5108,54.3671,Nebitchi Hotel
682,Carutapera,BR,83.89,few clouds,-1.195,-46.02,Lidera
683,Neuquen,AR,76.89,clear sky,-38.9516,-68.0591,Hotel del Comahue
684,Praia Da Vitoria,PT,79.05,few clouds,38.7333,-27.0667,Hotel Branco I
687,Hinganghat,IN,75.42,overcast clouds,20.5667,78.8333,Zambre Villa
